match_id,team_1,team_2,team_1_runs,team_2_runs,winner,venue,toss_winner,toss_decision,team_1_avg_runs,team_2_avg_runs,team_1_won_toss,team_1_batted_first,venue_encoded,team_1_won
1131274,United Arab Emirates,Ireland,222,226,Ireland,ICC Academy,Ireland,field,199.61467889908258,217.432,0,1,110,0
1131275,Ireland,United Arab Emirates,301,234,Ireland,ICC Academy,Ireland,bat,217.432,199.61467889908258,1,1,110,1
1131276,Scotland,Ireland,219,223,Ireland,ICC Academy,Ireland,field,216.5981308411215,217.432,0,1,110,0
1131277,Ireland,Scotland,331,307,Ireland,ICC Academy,Ireland,bat,217.432,216.5981308411215,1,1,110,1
1131278,Scotland,United Arab Emirates,249,218,Scotland,ICC Academy,United Arab Emirates,field,216.5981308411215,199.61467889908258,0,1,110,1
1131279,Scotland,United Arab Emirates,299,300,United Arab Emirates,ICC Academy,Scotland,bat,216.5981308411215,199.61467889908258,1,1,110,0
1133002,Papua New Guinea,Ireland,235,237,Ireland,Harare Sports Club,Ireland,field,185.98214285714286,217.432,0,1,102,0
1133003,West Indies,United Arab Emirates,357,297,West Indies,Old Hararians,West Indies,bat,219.19893899204243,199.61467889908258,1,1,185,1
1133005,Hong Kong,Scotland,91,92,Scotland,Bulawayo Athletic Club,Scotland,field,181.41176470588235,216.5981308411215,0,1,40,0
1133007,Papua New Guinea,West Indies,200,201,West Indies,Old Hararians,Papua New Guinea,bat,185.98214285714286,219.19893899204243,1,1,185,0
1133010,West Indies,Ireland,257,205,West Indies,Harare Sports Club,Ireland,field,219.19893899204243,217.432,0,1,102,1
1133012,Zimbabwe,Hong Kong,263,174,Zimbabwe,Queens Sports Club,Hong Kong,field,204.35055350553506,181.41176470588235,0,1,200,1
1133015,Ireland,United Arab Emirates,313,91,Ireland,Old Hararians,United Arab Emirates,field,217.432,199.61467889908258,0,1,185,1
1133017,Zimbabwe,Scotland,210,210,Scotland,Queens Sports Club,Zimbabwe,bat,204.35055350553506,216.5981308411215,1,1,200,0
1133019,Scotland,United Arab Emirates,322,249,Scotland,Queens Sports Club,Scotland,bat,216.5981308411215,199.61467889908258,1,1,200,1
1133022,Zimbabwe,Ireland,211,104,Zimbabwe,Harare Sports Club,Ireland,field,204.35055350553506,217.432,0,1,102,1
1133023,Papua New Guinea,Hong Kong,200,142,Papua New Guinea,Old Hararians,Papua New Guinea,bat,185.98214285714286,181.41176470588235,1,1,185,1
1133025,Ireland,Scotland,271,246,Ireland,Harare Sports Club,Scotland,field,217.432,216.5981308411215,0,1,102,1
1133026,Zimbabwe,West Indies,289,290,West Indies,Harare Sports Club,Zimbabwe,bat,204.35055350553506,219.19893899204243,1,1,102,0
1133028,West Indies,Scotland,198,125,West Indies,Harare Sports Club,Scotland,field,219.19893899204243,216.5981308411215,0,1,102,1
1133029,United Arab Emirates,Zimbabwe,235,226,United Arab Emirates,Harare Sports Club,Zimbabwe,field,199.61467889908258,204.35055350553506,0,1,102,1
1134540,United Arab Emirates,Papua New Guinea,221,113,United Arab Emirates,Harare Sports Club,Papua New Guinea,field,199.61467889908258,185.98214285714286,0,1,102,1
1140380,England,Sri Lanka,278,140,England,Rangiri Dambulla International Stadium,Sri Lanka,field,241.78454332552693,229.3519313304721,0,1,209,1
1140381,Sri Lanka,England,150,153,England,Pallekele International Cricket Stadium,England,field,229.3519313304721,241.78454332552693,0,1,189,0
1140382,Sri Lanka,England,273,132,Sri Lanka,Pallekele International Cricket Stadium,England,field,229.3519313304721,241.78454332552693,0,1,189,1
1140383,Sri Lanka,England,366,132,Sri Lanka,"R.Premadasa Stadium, Khettarama",Sri Lanka,bat,229.3519313304721,241.78454332552693,1,1,206,1
1142584,Sri Lanka,South Africa,193,196,South Africa,Rangiri Dambulla International Stadium,Sri Lanka,bat,229.3519313304721,246.04545454545453,1,1,209,0
1142585,Sri Lanka,South Africa,244,246,South Africa,Rangiri Dambulla International Stadium,Sri Lanka,bat,229.3519313304721,246.04545454545453,1,1,209,0
1142586,South Africa,Sri Lanka,363,285,South Africa,Pallekele International Cricket Stadium,Sri Lanka,field,246.04545454545453,229.3519313304721,0,1,189,1
1142587,Sri Lanka,South Africa,306,187,Sri Lanka,Pallekele International Cricket Stadium,South Africa,field,229.3519313304721,246.04545454545453,0,1,189,1
1142588,Sri Lanka,South Africa,299,121,Sri Lanka,"R.Premadasa Stadium, Khettarama",Sri Lanka,bat,229.3519313304721,246.04545454545453,1,1,206,1
1142920,Pakistan,Zimbabwe,308,107,Pakistan,Queens Sports Club,Zimbabwe,field,237.21428571428572,204.35055350553506,0,1,200,1
1142921,Zimbabwe,Pakistan,194,195,Pakistan,Queens Sports Club,Zimbabwe,bat,204.35055350553506,237.21428571428572,1,1,200,0
1142922,Zimbabwe,Pakistan,67,69,Pakistan,Queens Sports Club,Zimbabwe,bat,204.35055350553506,237.21428571428572,1,1,200,0
1142923,Pakistan,Zimbabwe,399,155,Pakistan,Queens Sports Club,Pakistan,bat,237.21428571428572,204.35055350553506,1,1,200,1
1142924,Pakistan,Zimbabwe,364,233,Pakistan,Queens Sports Club,Pakistan,bat,237.21428571428572,204.35055350553506,1,1,200,1
1144146,Zimbabwe,South Africa,117,119,South Africa,Diamond Oval,South Africa,field,204.35055350553506,246.04545454545453,0,1,70,0
1144147,South Africa,Zimbabwe,198,78,South Africa,Mangaung Oval,South Africa,bat,246.04545454545453,204.35055350553506,1,1,148,1
1144148,Zimbabwe,South Africa,228,231,South Africa,Boland Park,Zimbabwe,bat,204.35055350553506,246.04545454545453,1,1,30,0
1144156,South Africa,Pakistan,266,267,Pakistan,St George's Park,South Africa,bat,246.04545454545453,237.21428571428572,1,1,253,0
1144157,Pakistan,South Africa,203,207,South Africa,Kingsmead,South Africa,field,237.21428571428572,246.04545454545453,0,1,129,0
1144158,Pakistan,South Africa,317,187,Pakistan,SuperSport Park,Pakistan,bat,237.21428571428572,246.04545454545453,1,1,258,1
1144159,South Africa,Pakistan,164,168,Pakistan,The Wanderers Stadium,Pakistan,field,246.04545454545453,237.21428571428572,0,1,269,0
1144160,Pakistan,South Africa,240,241,South Africa,Newlands,South Africa,field,237.21428571428572,246.04545454545453,0,1,180,0
1144167,Sri Lanka,South Africa,231,232,South Africa,The Wanderers Stadium,South Africa,field,229.3519313304721,246.04545454545453,0,1,269,0
1144168,South Africa,Sri Lanka,251,138,South Africa,SuperSport Park,Sri Lanka,field,246.04545454545453,229.3519313304721,0,1,258,1
1144169,South Africa,Sri Lanka,331,121,South Africa,Kingsmead,Sri Lanka,field,246.04545454545453,229.3519313304721,0,1,129,1
1144170,Sri Lanka,South Africa,189,190,South Africa,St George's Park,South Africa,field,229.3519313304721,246.04545454545453,0,1,253,0
1144171,Sri Lanka,South Africa,225,135,Sri Lanka,Newlands,Sri Lanka,bat,229.3519313304721,246.04545454545453,1,1,180,1
1144483,England,South Africa,311,207,England,Kennington Oval,South Africa,field,241.78454332552693,246.04545454545453,0,1,123,1
1144484,Pakistan,West Indies,105,108,West Indies,Trent Bridge,West Indies,field,237.21428571428572,219.19893899204243,0,1,275,0
1144485,Sri Lanka,New Zealand,136,137,New Zealand,Sophia Gardens,New Zealand,field,229.3519313304721,234.99731903485255,0,1,248,0
1144487,Bangladesh,South Africa,330,309,Bangladesh,Kennington Oval,South Africa,field,214.4063492063492,246.04545454545453,0,1,123,1
1144488,Pakistan,England,348,334,Pakistan,Trent Bridge,England,field,237.21428571428572,241.78454332552693,0,1,275,1
1144490,South Africa,India,227,230,India,The Rose Bowl,South Africa,bat,246.04545454545453,247.694,1,1,264,0
1144491,Bangladesh,New Zealand,244,248,New Zealand,Kennington Oval,New Zealand,field,214.4063492063492,234.99731903485255,0,1,123,0
1144492,Australia,West Indies,288,273,Australia,Trent Bridge,West Indies,field,246.49891540130153,219.19893899204243,0,1,275,1
1144494,England,Bangladesh,386,280,England,Sophia Gardens,Bangladesh,field,241.78454332552693,214.4063492063492,0,1,248,1
1144496,India,Australia,352,316,India,Kennington Oval,India,bat,247.694,246.49891540130153,1,1,123,1
1144499,Australia,Pakistan,307,266,Australia,The Cooper Associates County Ground,Pakistan,field,246.49891540130153,237.21428571428572,0,1,263,1
1144501,West Indies,England,212,213,England,The Rose Bowl,England,field,219.19893899204243,241.78454332552693,0,1,264,0
1144502,Australia,Sri Lanka,334,247,Australia,Kennington Oval,Sri Lanka,field,246.49891540130153,229.3519313304721,0,1,123,1
1144504,India,Pakistan,336,212,India,Old Trafford,Pakistan,field,247.694,237.21428571428572,0,1,186,1
1144505,West Indies,Bangladesh,321,322,Bangladesh,The Cooper Associates County Ground,Bangladesh,field,219.19893899204243,214.4063492063492,0,1,263,0
1144507,South Africa,New Zealand,241,245,New Zealand,Edgbaston,New Zealand,field,246.04545454545453,234.99731903485255,0,1,81,0
1144508,Australia,Bangladesh,381,333,Australia,Trent Bridge,Australia,bat,246.49891540130153,214.4063492063492,1,1,275,1
1144509,Sri Lanka,England,232,212,Sri Lanka,Headingley,Sri Lanka,bat,229.3519313304721,241.78454332552693,1,1,104,1
1144511,New Zealand,West Indies,291,286,New Zealand,Old Trafford,West Indies,field,234.99731903485255,219.19893899204243,0,1,186,1
1144512,Pakistan,South Africa,308,259,Pakistan,Lord's,Pakistan,bat,237.21428571428572,246.04545454545453,1,1,133,1
1144514,Australia,England,285,221,Australia,Lord's,England,field,246.49891540130153,241.78454332552693,0,1,133,1
1144515,New Zealand,Pakistan,237,241,Pakistan,Edgbaston,New Zealand,bat,234.99731903485255,237.21428571428572,1,1,81,0
1144516,India,West Indies,268,143,India,Old Trafford,India,bat,247.694,219.19893899204243,1,1,186,1
1144517,Sri Lanka,South Africa,203,206,South Africa,Riverside Ground,South Africa,field,229.3519313304721,246.04545454545453,0,1,212,0
1144519,Australia,New Zealand,243,157,Australia,Lord's,Australia,bat,246.49891540130153,234.99731903485255,1,1,133,1
1144520,England,India,337,306,England,Edgbaston,England,bat,241.78454332552693,247.694,1,1,81,1
1144521,Sri Lanka,West Indies,338,315,Sri Lanka,Riverside Ground,West Indies,field,229.3519313304721,219.19893899204243,0,1,212,1
1144522,India,Bangladesh,314,286,India,Edgbaston,India,bat,247.694,214.4063492063492,1,1,81,1
1144523,England,New Zealand,305,186,England,Riverside Ground,England,bat,241.78454332552693,234.99731903485255,1,1,212,1
1144525,Pakistan,Bangladesh,315,221,Pakistan,Lord's,Pakistan,bat,237.21428571428572,214.4063492063492,1,1,133,1
1144526,Sri Lanka,India,264,265,India,Headingley,Sri Lanka,bat,229.3519313304721,247.694,1,1,104,0
1144527,South Africa,Australia,325,315,South Africa,Old Trafford,South Africa,bat,246.04545454545453,246.49891540130153,1,1,186,1
1144528,New Zealand,India,239,221,New Zealand,Old Trafford,New Zealand,bat,234.99731903485255,247.694,1,1,186,1
1144529,Australia,England,223,226,England,Edgbaston,Australia,bat,246.49891540130153,241.78454332552693,1,1,81,0
1144530,New Zealand,England,241,241,England,Lord's,New Zealand,bat,234.99731903485255,241.78454332552693,1,1,133,0
1144986,Australia,South Africa,152,153,South Africa,Perth Stadium,South Africa,field,246.49891540130153,246.04545454545453,0,1,190,0
1144987,Australia,South Africa,231,224,Australia,Adelaide Oval,South Africa,field,246.49891540130153,246.04545454545453,0,1,1,1
1144988,South Africa,Australia,320,280,South Africa,Bellerive Oval,Australia,field,246.04545454545453,246.49891540130153,0,1,25,1
1144997,Australia,India,288,254,Australia,Sydney Cricket Ground,Australia,bat,246.49891540130153,247.694,1,1,260,1
1144998,Australia,India,298,299,India,Adelaide Oval,Australia,bat,246.49891540130153,247.694,1,1,1,0
1144999,Australia,India,230,234,India,Melbourne Cricket Ground,India,field,246.49891540130153,247.694,0,1,160,0
1146720,Bangladesh,West Indies,279,231,Bangladesh,Providence Stadium,Bangladesh,bat,214.4063492063492,219.19893899204243,1,1,191,1
1146721,West Indies,Bangladesh,271,268,West Indies,Providence Stadium,Bangladesh,field,219.19893899204243,214.4063492063492,0,1,191,1
1146722,Bangladesh,West Indies,301,283,Bangladesh,"Warner Park, Basseterre",Bangladesh,bat,214.4063492063492,219.19893899204243,1,1,294,1
1152842,England,Pakistan,373,361,England,The Rose Bowl,Pakistan,field,241.78454332552693,237.21428571428572,0,1,264,1
1152843,Pakistan,England,358,359,England,County Ground,England,field,237.21428571428572,241.78454332552693,0,1,61,0
1152844,Pakistan,England,340,341,England,Trent Bridge,England,field,237.21428571428572,241.78454332552693,0,1,275,0
1152845,England,Pakistan,351,297,England,Headingley,England,bat,241.78454332552693,237.21428571428572,1,1,104,1
1153243,Bangladesh,Sri Lanka,261,124,Bangladesh,Dubai International Cricket Stadium,Bangladesh,bat,214.4063492063492,229.3519313304721,1,1,75,1
1153244,Hong Kong,Pakistan,116,120,Pakistan,Dubai International Cricket Stadium,Hong Kong,bat,181.41176470588235,237.21428571428572,1,1,75,0
