match_id,innings,batting_team,total_runs,wickets,ball_faced
238197,2,Australia,93,10,209
238198,1,Australia,254,6,309
238198,2,South Africa,230,10,289
238199,1,South Africa,246,9,302
238199,2,Australia,247,9,305
238200,1,Australia,434,4,315
238200,2,South Africa,438,9,305
238213,1,Pakistan,201,8,308
238214,1,Sri Lanka,130,10,272
238214,2,Pakistan,134,6,281
238215,1,Sri Lanka,224,10,303
238215,2,Pakistan,229,6,278
239907,1,Zimbabwe,151,9,310
239907,2,West Indies,154,5,243
239908,1,West Indies,242,9,313
239908,2,Zimbabwe,144,10,289
239911,1,Zimbabwe,152,10,306
239911,2,West Indies,156,0,173
239912,1,West Indies,263,6,312
239912,2,Zimbabwe,72,2,85
239913,1,West Indies,266,8,313
239913,2,Zimbabwe,162,10,307
239916,1,West Indies,198,9,310
239916,2,India,197,10,311
239917,1,India,245,9,308
239917,2,West Indies,248,6,309
239918,1,India,217,7,311
239918,2,West Indies,218,4,273
239919,1,West Indies,255,6,316
239919,2,India,236,10,302
244510,1,India,197,10,305
244510,2,Pakistan,201,4,299
244511,1,India,269,5,301
244511,2,Pakistan,218,10,281
247457,1,West Indies,241,9,308
247457,2,Pakistan,187,10,286
247458,1,Australia,334,6,306
247458,2,Scotland,131,9,246
247460,1,Sri Lanka,321,6,323
247460,2,Bermuda,78,10,151
247461,1,Ireland,221,9,307
247461,2,Zimbabwe,221,10,308
247462,1,South Africa,353,3,245
247462,2,Netherlands,132,9,243
247463,1,England,209,7,311
247463,2,New Zealand,210,4,255
247464,1,India,191,10,307
247464,2,Bangladesh,192,5,299
247465,1,Pakistan,132,10,300
247465,2,Ireland,133,7,262
247466,1,Australia,358,5,308
247466,2,Netherlands,129,10,166
247467,1,England,279,6,313
247467,2,Canada,228,7,310
247468,1,India,413,5,322
247468,2,Bermuda,156,10,270
247469,1,Zimbabwe,202,5,315
247469,2,West Indies,204,4,299
247470,1,Scotland,186,8,306
247470,2,South Africa,188,3,141
247471,1,New Zealand,331,7,313
247471,2,Kenya,183,10,304
247472,1,Sri Lanka,318,4,307
247472,2,Bangladesh,112,10,227
247473,1,Pakistan,349,10,309
247473,2,Zimbabwe,99,10,118
247474,1,Scotland,136,10,215
247474,2,Netherlands,140,2,145
247475,1,New Zealand,363,5,313
247475,2,Canada,249,10,309
247476,1,Sri Lanka,254,6,316
247476,2,India,185,10,268
247477,1,Ireland,183,8,296
247477,2,West Indies,190,2,235
247478,1,Australia,377,6,305
247478,2,South Africa,294,10,296
247479,1,Kenya,177,10,271
247479,2,England,178,3,206
247480,1,Bermuda,94,9,132
247480,2,Bangladesh,96,3,121
247481,1,Australia,322,6,311
247481,2,West Indies,219,10,284
247482,1,Sri Lanka,209,10,302
247482,2,South Africa,212,9,294
247483,1,West Indies,177,10,271
247483,2,New Zealand,179,3,241
247484,1,England,266,7,314
247484,2,Ireland,218,10,301
247485,1,Bangladesh,104,6,139
247485,2,Australia,106,0,83
247486,1,Sri Lanka,303,5,318
247486,2,West Indies,190,10,273
247487,1,Bangladesh,174,10,293
247487,2,New Zealand,178,1,183
247488,1,Ireland,152,8,214
247488,2,South Africa,165,3,194
247489,1,Sri Lanka,235,10,306
247489,2,England,233,8,303
247490,1,Bangladesh,251,8,317
247490,2,South Africa,184,10,298
247491,1,England,247,10,307
247491,2,Australia,248,3,289
247492,1,New Zealand,263,8,310
247492,2,Ireland,134,10,232
247493,1,South Africa,356,4,307
247493,2,West Indies,289,9,303
247494,1,Bangladesh,143,10,236
247494,2,England,147,6,274
247495,1,New Zealand,219,7,309
247495,2,Sri Lanka,222,4,282
247496,1,Ireland,91,10,193
247496,2,Australia,92,1,83
247497,1,South Africa,193,7,306
247497,2,New Zealand,196,5,299
247498,1,Ireland,243,7,311
247498,2,Bangladesh,169,10,262
247499,1,Sri Lanka,226,10,308
247499,2,Australia,232,3,265
247500,1,England,154,10,296
247500,2,South Africa,157,1,121
247501,1,Ireland,77,10,170
247501,2,Sri Lanka,81,2,68
247502,1,West Indies,230,5,303
247502,2,Bangladesh,131,10,272
247503,1,Australia,348,6,314
247503,2,New Zealand,133,10,164
247504,1,West Indies,300,10,316
247504,2,England,301,9,304
247505,1,Sri Lanka,289,5,313
247505,2,New Zealand,208,10,263
247506,1,South Africa,149,10,272
247506,2,Australia,153,3,195
247507,1,Australia,281,4,239
247507,2,Sri Lanka,215,8,225
249207,1,Zimbabwe,197,10,302
249207,2,Bangladesh,201,2,274
249211,1,South Africa,248,8,304
249211,2,India,91,10,178
249212,1,South Africa,274,7,310
249212,2,India,168,10,253
249213,1,South Africa,243,8,304
249213,2,India,163,10,237
249214,1,India,200,9,304
249214,2,South Africa,201,1,198
249228,1,Australia,289,8,314
249228,2,New Zealand,184,10,238
249229,1,New Zealand,218,10,295
249229,2,Australia,224,8,302
249230,1,Australia,343,5,310
249230,2,New Zealand,335,5,310
249231,1,New Zealand,290,7,312
249231,2,Australia,291,5,300
249232,1,England,242,8,304
249232,2,Australia,246,2,280
249233,1,England,155,10,255
249233,2,Australia,156,6,245
249234,1,England,110,10,212
249234,2,Australia,111,1,152
249235,1,England,292,7,314
249235,2,Australia,200,10,245
249236,1,New Zealand,205,9,307
249236,2,England,206,7,309
249237,1,New Zealand,210,10,308
249237,2,England,120,10,230
249238,1,New Zealand,318,7,323
249238,2,England,260,8,309
249239,1,England,270,7,306
249239,2,New Zealand,256,8,311
249240,1,Australia,252,10,300
249240,2,England,253,6,307
249241,1,England,246,8,314
249241,2,Australia,152,8,171
249378,1,Kenya,168,10,303
249378,2,Bangladesh,170,4,190
249379,1,Kenya,184,10,290
249379,2,Bangladesh,185,8,296
249380,1,Kenya,118,10,257
249380,2,Bangladesh,120,4,172
249739,1,Sri Lanka,302,8,312
249739,2,Bangladesh,265,9,319
249740,1,Zimbabwe,85,10,187
249740,2,West Indies,90,1,91
249741,1,Sri Lanka,285,7,311
249741,2,Zimbabwe,141,10,277
249742,1,Bangladesh,161,10,284
249742,2,West Indies,164,0,226
249743,1,Bangladesh,231,6,309
249743,2,Zimbabwe,130,10,268
249744,1,West Indies,80,10,196
249744,2,Sri Lanka,83,1,84
249745,1,England,125,10,225
249745,2,India,126,6,185
249746,1,New Zealand,195,10,282
249746,2,South Africa,108,10,209
249747,1,Sri Lanka,253,10,307
249747,2,Pakistan,255,6,297
249748,1,West Indies,234,6,304
249748,2,Australia,224,9,312
249749,1,New Zealand,165,10,313
249749,2,Sri Lanka,166,3,228
249750,1,England,169,10,279
249750,2,Australia,170,4,232
249751,1,South Africa,219,9,306
249751,2,Sri Lanka,141,10,242
249752,1,New Zealand,274,7,308
249752,2,Pakistan,223,10,288
249753,1,India,223,9,312
249753,2,West Indies,224,7,310
249754,1,South Africa,213,8,308
249754,2,Pakistan,89,10,157
249755,1,West Indies,272,4,309
249755,2,England,276,7,301
249756,1,India,249,8,313
249756,2,Australia,252,4,286
249757,1,Australia,240,9,312
249757,2,New Zealand,206,10,290
249758,1,South Africa,258,8,312
249758,2,West Indies,262,5,272
249759,1,West Indies,138,10,193
249759,2,Australia,116,2,175
250668,1,South Africa,392,6,321
250668,2,Pakistan,228,10,284
250669,1,Pakistan,351,4,305
250669,2,South Africa,210,10,249
250670,1,Pakistan,245,8,304
250671,1,Pakistan,107,10,279
250671,2,South Africa,113,0,87
250672,1,Pakistan,153,10,254
250672,2,South Africa,156,1,181
251489,1,New Zealand,285,8,308
251489,2,Sri Lanka,289,3,257
251491,1,Sri Lanka,112,10,218
251491,2,New Zealand,110,6,149
251492,1,Sri Lanka,262,6,310
251492,2,New Zealand,73,10,162
